INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-56-0000-2018-355,CA0560000,11/7/2018,23:26,THOUSAND OAKS,VENTURA,CA,91361,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,3,2
URSUS-56-0000-2018-b37,CA0560000,10/19/2018,8:46,OXNARD,VENTURA,CA,93036,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-56-0000-2018-c78,CA0560000,10/10/2018,1:21,THOUSAND OAKS,VENTURA,CA,91362,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,1
URSUS-56-0400-2018-1f3,CA0560400,7/29/2018,19:21,OXNARD,VENTURA,CA,93036,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,1,1
URSUS-56-0600-2018-a2f,CA0560600,10/6/2018,22:18,SANTA PAULA,VENTURA,CA,93060,FALSE,TRUE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-56-0800-2018-4cb,CA0560800,1/15/2018,23:33,VENTURA,VENTURA,CA,93001,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-56-0800-2018-bf5,CA0560800,11/11/2018,21:55,VENTURA,VENTURA,CA,93003,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-56-0800-2018-d14,CA0560800,8/9/2018,0:24,VENTURA,VENTURA,CA,93001,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-57-0000-2018-1b4,CA0570000,12/1/2018,1:06,WOODLAND,YOLO,CA,95695,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-58-0000-2018-34f,CA0580000,12/13/2018,8:12,OREGON HOUSE,YUBA,CA,95962,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,7,3
URSUS-58-0000-2018-598,CA0580000,4/6/2018,2:17,MARYSVILLE,YUBA,CA,95901,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,5,3
