INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,PRIMARY_AGENCY_INDICATOR
URSUS-15-0200-2017-59f,CA0150200,7/5/2017,14:49,BAKERSFIELD,KERN,CA,93309,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,*
URSUS-15-0200-2017-5cd,CA0150200,12/23/2017,12:45,BAKERSFIELD,KERN,CA,93306,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0200-2017-5e5,CA0150200,1/21/2017,1:11,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-15-0200-2017-5eb,CA0150200,3/2/2017,21:28,BAKERSFIELD,KERN,CA,93301,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-15-0200-2017-605,CA0150200,11/4/2017,22:31,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,2,*
URSUS-15-0200-2017-6d7,CA0150200,2/17/2017,1:13,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-15-0200-2017-701,CA0150200,12/1/2017,16:54,BAKERSFIELD,KERN,CA,93308,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-15-0200-2017-780,CA0150200,9/14/2017,1:18,BAKERSFIELD,KERN,CA,93304,FALSE,TRUE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-15-0200-2017-80b,CA0150200,3/21/2017,3:55,BAKERSFIELD,KERN,CA,93301,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0200-2017-826,CA0150200,5/31/2017,22:32,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0200-2017-8a1,CA0150200,7/18/2017,19:04,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,2,*
URSUS-15-0200-2017-924,CA0150200,2/13/2017,2:20,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,*
URSUS-15-0200-2017-9ae,CA0150200,6/13/2017,12:23,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,5,*
URSUS-15-0200-2017-a28,CA0150200,8/30/2017,21:18,BAKERSFIELD,KERN,CA,93307,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-15-0200-2017-a88,CA0150200,1/19/2017,19:50,BAKERSFIELD,KERN,CA,93307,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,*
URSUS-15-0200-2017-d49,CA0150200,6/17/2017,12:37,BAKERSFIELD,KERN,CA,93304,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-15-0200-2017-d74,CA0150200,12/9/2017,4:20,BAKERSFIELD,KERN,CA,93309,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,6,*
URSUS-15-0200-2017-f06,CA0150200,10/11/2017,2:15,BAKERSFIELD,KERN,CA,93309,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,*
URSUS-15-0200-2017-f35,CA0150200,7/31/2017,4:44,BAKERSFIELD,KERN,CA,93307,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-15-0300-2017-06d,CA0150300,12/31/2017,8:50,DELANO,KERN,CA,93215,FALSE,FALSE,TRUE,TRUE,in_progress,,2,2,*
URSUS-15-0600-2017-4d8,CA0150600,6/8/2017,11:57,RIDGECREST,KERN,CA,93555,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,7,*
URSUS-15-0700-2017-7ac,CA0150700,3/5/2017,0:07,SHAFTER,KERN,CA,93263,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,*
URSUS-15-0800-2017-704,CA0150800,6/8/2017,11:57,RIDGECREST,KERN,CA,93555,FALSE,FALSE,FALSE,TRUE,call_for_service,,,1,URSUS-15-0600-2017-4d8
URSUS-15-0900-2017-a2e,CA0150900,5/24/2017,22:15,TEHACHAPI,KERN,CA,93561,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-16-0000-2017-9ed,CA0160000,3/10/2017,21:54,LEMOORE,KINGS,CA,93245,FALSE,FALSE,FALSE,TRUE,call_for_service,,,1,URSUS-16-0800-2017-fae
URSUS-16-0300-2017-4fc,CA0160300,10/7/2017,19:06,LEMOORE,KINGS,CA,93245,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,*
URSUS-16-0800-2017-e0f,CA0160800,7/26/2017,19:05,AVENAL,KINGS,CA,93204,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,*
URSUS-16-0800-2017-fae,CA0160800,3/10/2017,19:45,LEMOORE,KINGS,CA,93245,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,*
URSUS-17-0000-2017-d83,CA0170000,12/8/2017,2:50,CLEARLAKE,LAKE,CA,95422,FALSE,FALSE,TRUE,TRUE,consensual,,1,1,*
URSUS-19-0000-2017-057,CA0190000,5/24/2017,23:40,COMPTON,LOS ANGELES,CA,90221,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,2,*
URSUS-19-0000-2017-0af,CA0190000,4/24/2017,23:14,CARSON,LOS ANGELES,CA,90745,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-162,CA0190000,12/28/2017,11:32,LOS ANGELES,LOS ANGELES,CA,90012,FALSE,FALSE,FALSE,TRUE,in_custody_event,booked_awaiting_trial,1,1,*
URSUS-19-0000-2017-172,CA0190000,11/15/2017,10:30,TORRANCE,LOS ANGELES,CA,90502,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,*
URSUS-19-0000-2017-184,CA0190000,7/4/2017,13:50,PALMDALE,LOS ANGELES,CA,93550,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,*
URSUS-19-0000-2017-215,CA0190000,6/22/2017,3:47,PALMDALE,LOS ANGELES,CA,93550,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-2a9,CA0190000,12/9/2017,20:34,LANCASTER,LOS ANGELES,CA,93534,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,2,7,*
URSUS-19-0000-2017-2e8,CA0190000,3/7/2017,23:05,LOS ANGELES,LOS ANGELES,CA,90056,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-2f6,CA0190000,4/9/2017,9:43,COVINA,LOS ANGELES,CA,91722,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,*
URSUS-19-0000-2017-300,CA0190000,12/1/2017,19:50,LA MIRADA,LOS ANGELES,CA,90638,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-318,CA0190000,2/4/2017,18:44,NORWALK,LOS ANGELES,CA,90650,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,4,*
URSUS-19-0000-2017-37a,CA0190000,6/26/2017,8:30,PICO RIVERA,LOS ANGELES,CA,90660,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,9,*
URSUS-19-0000-2017-394,CA0190000,4/12/2017,1:07,LOS ANGELES,LOS ANGELES,CA,90002,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-423,CA0190000,1/9/2017,13:48,SAN BERNARDINO,SAN BERNARDINO,CA,92407,FALSE,FALSE,TRUE,TRUE,ambush,,2,1,*
URSUS-19-0000-2017-4f8,CA0190000,11/2/2017,16:30,COMPTON,LOS ANGELES,CA,90222,FALSE,FALSE,FALSE,TRUE,ambush,,1,3,*
URSUS-19-0000-2017-520,CA0190000,8/16/2017,19:17,LOS ANGELES,LOS ANGELES,CA,90059,FALSE,FALSE,FALSE,TRUE,vehicle_bike_pedestrian,,1,1,*
URSUS-19-0000-2017-52a,CA0190000,5/24/2017,16:45,TEMPLE CITY,LOS ANGELES,CA,91780,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
URSUS-19-0000-2017-540,CA0190000,3/26/2017,14:57,WHITTIER,LOS ANGELES,CA,90604,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,*
